Id,Festival Name,Date,Day,Year,Cultural Festival,Description
1,Makar Sankranti,January 15,Monday,2024,Yes,"Makar Sankranti marks the sun’s transition into Capricorn and the end of winter solstice. It is one of the few Hindu festivals aligned with the solar cycle. Celebrated with kite flying in Gujarat, sweets in Maharashtra, and bonfires in Punjab, it honors harvests, gratitude to the Sun God, and renewal."
2,Makar Sankranti,January 14,Tuesday,2025,Yes,"Makar Sankranti marks the sun’s transition into Capricorn and the end of winter solstice. It is one of the few Hindu festivals aligned with the solar cycle. Celebrated with kite flying in Gujarat, sweets in Maharashtra, and bonfires in Punjab, it honors harvests, gratitude to the Sun God, and renewal."
3,Makar Sankranti,January 14,Wednesday,2026,Yes,"Makar Sankranti marks the sun’s transition into Capricorn and the end of winter solstice. It is one of the few Hindu festivals aligned with the solar cycle. Celebrated with kite flying in Gujarat, sweets in Maharashtra, and bonfires in Punjab, it honors harvests, gratitude to the Sun God, and renewal."
4,Pongal,January 15,Monday,2024,Yes,"Pongal is a major Tamil harvest festival lasting four days. It begins with Bhogi and ends with Kaanum Pongal. Families boil rice in new clay pots as a ritual of abundance, offering thanks to the Sun God. It is marked by kolams (rangoli), bull taming, and rural celebrations across Tamil Nadu."
5,Pongal,January 14,Tuesday,2025,Yes,"Pongal is a major Tamil harvest festival lasting four days. It begins with Bhogi and ends with Kaanum Pongal. Families boil rice in new clay pots as a ritual of abundance, offering thanks to the Sun God. It is marked by kolams (rangoli), bull taming, and rural celebrations across Tamil Nadu."
6,Pongal,January 14,Wednesday,2026,Yes,"Pongal is a major Tamil harvest festival lasting four days. It begins with Bhogi and ends with Kaanum Pongal. Families boil rice in new clay pots as a ritual of abundance, offering thanks to the Sun God. It is marked by kolams (rangoli), bull taming, and rural celebrations across Tamil Nadu."
7,Republic Day,January 26,Friday,2024,No,"Republic Day of India commemorates January 26, 1950, when the Constitution came into effect. The grand Delhi parade showcases India's cultural heritage, military strength, and achievements. Citizens celebrate with patriotic songs, flag-hoisting, and remembering the nation's democratic journey."
8,Republic Day,January 26,Sunday,2025,No,"Republic Day of India commemorates January 26, 1950, when the Constitution came into effect. The grand Delhi parade showcases India's cultural heritage, military strength, and achievements. Citizens celebrate with patriotic songs, flag-hoisting, and remembering the nation's democratic journey."
9,Republic Day,January 26,Monday,2026,No,"Republic Day of India commemorates January 26, 1950, when the Constitution came into effect. The grand Delhi parade showcases India's cultural heritage, military strength, and achievements. Citizens celebrate with patriotic songs, flag-hoisting, and remembering the nation's democratic journey."
10,Holi,March 25,Monday,2024,Yes,"Holi, the festival of colors, celebrates spring and the triumph of good over evil. The night before, Holika Dahan symbolizes burning negativity. The next day, people smear each other with colors, dance to folk music, and share sweets like gujiya. It promotes joy, forgiveness, and unity."
11,Holi,March 14,Friday,2025,Yes,"Holi, the festival of colors, celebrates spring and the triumph of good over evil. The night before, Holika Dahan symbolizes burning negativity. The next day, people smear each other with colors, dance to folk music, and share sweets like gujiya. It promotes joy, forgiveness, and unity."
12,Holi,March 3,Tuesday,2026,Yes,"Holi, the festival of colors, celebrates spring and the triumph of good over evil. The night before, Holika Dahan symbolizes burning negativity. The next day, people smear each other with colors, dance to folk music, and share sweets like gujiya. It promotes joy, forgiveness, and unity."
13,Raksha Bandhan,August 19,Monday,2024,Yes,"Raksha Bandhan is a celebration of the bond between brothers and sisters. Sisters tie a sacred thread (rakhi) on their brothers’ wrists, praying for their protection, and brothers vow to protect them. The festival transcends biological ties and emphasizes family love and duty."
14,Raksha Bandhan,August 9,Saturday,2025,Yes,"Raksha Bandhan is a celebration of the bond between brothers and sisters. Sisters tie a sacred thread (rakhi) on their brothers’ wrists, praying for their protection, and brothers vow to protect them. The festival transcends biological ties and emphasizes family love and duty."
15,Raksha Bandhan,August 28,Friday,2026,Yes,"Raksha Bandhan is a celebration of the bond between brothers and sisters. Sisters tie a sacred thread (rakhi) on their brothers’ wrists, praying for their protection, and brothers vow to protect them. The festival transcends biological ties and emphasizes family love and duty."
16,Ganesh Chaturthi,September 7,Saturday,2024,Yes,"Ganesh Chaturthi marks the birth of Lord Ganesha, the remover of obstacles. Idols of Ganesha are worshipped in homes and public pandals, accompanied by devotional songs, dances, and sweets like modak. After 10 days, the idols are immersed in water, symbolizing return to the cosmos."
17,Ganesh Chaturthi,August 27,Wednesday,2025,Yes,"Ganesh Chaturthi marks the birth of Lord Ganesha, the remover of obstacles. Idols of Ganesha are worshipped in homes and public pandals, accompanied by devotional songs, dances, and sweets like modak. After 10 days, the idols are immersed in water, symbolizing return to the cosmos."
18,Ganesh Chaturthi,September 16,Wednesday,2026,Yes,"Ganesh Chaturthi marks the birth of Lord Ganesha, the remover of obstacles. Idols of Ganesha are worshipped in homes and public pandals, accompanied by devotional songs, dances, and sweets like modak. After 10 days, the idols are immersed in water, symbolizing return to the cosmos."
19,Diwali,November 1,Friday,2024,Yes,"Diwali, or Deepavali, symbolizes the victory of light over darkness. It commemorates Lord Rama’s return to Ayodhya and the defeat of Ravana. Homes are adorned with lamps, fireworks fill the sky, and people worship Goddess Lakshmi for wealth and prosperity. It is a five-day celebration of renewal."
20,Diwali,October 20,Monday,2025,Yes,"Diwali, or Deepavali, symbolizes the victory of light over darkness. It commemorates Lord Rama’s return to Ayodhya and the defeat of Ravana. Homes are adorned with lamps, fireworks fill the sky, and people worship Goddess Lakshmi for wealth and prosperity. It is a five-day celebration of renewal."
21,Diwali,November 8,Sunday,2026,Yes,"Diwali, or Deepavali, symbolizes the victory of light over darkness. It commemorates Lord Rama’s return to Ayodhya and the defeat of Ravana. Homes are adorned with lamps, fireworks fill the sky, and people worship Goddess Lakshmi for wealth and prosperity. It is a five-day celebration of renewal."
22,Christmas,December 25,Wednesday,2024,No,"Christmas marks the birth of Jesus Christ. Celebrated by Christians and others across India, it involves midnight masses, carols, Christmas trees, and feasting. Churches and homes are decorated with lights and nativity scenes, reflecting themes of hope, peace, and giving."
23,Christmas,December 25,Thursday,2025,No,"Christmas marks the birth of Jesus Christ. Celebrated by Christians and others across India, it involves midnight masses, carols, Christmas trees, and feasting. Churches and homes are decorated with lights and nativity scenes, reflecting themes of hope, peace, and giving."
24,Christmas,December 25,Friday,2026,No,"Christmas marks the birth of Jesus Christ. Celebrated by Christians and others across India, it involves midnight masses, carols, Christmas trees, and feasting. Churches and homes are decorated with lights and nativity scenes, reflecting themes of hope, peace, and giving."
